span_m,v_flow_ms,time_yr,max_FI,safety_factor,failure_mode,max_defl_mm,defl_span_ratio,q_total_N_m,deg_factor
2.5,0.5,5,0.001397,715.84,shear,3.2281,0.001291,141.1632,0.7408
2.5,0.5,8,0.004322,231.37,shear,5.4064,0.002163,153.1795,0.6188
2.5,0.5,10,0.010072,99.28,shear,7.9847,0.003194,152.2031,0.5488
2.5,1.0,0,0.002748,363.96,shear,4.8976,0.001959,367.5629,1.0
2.5,1.0,2,0.000833,1200.06,shear,2.6081,0.001043,133.3205,0.8869
2.5,1.0,5,0.001891,528.8,shear,3.7474,0.001499,145.106,0.7408
2.5,1.0,8,0.005626,177.74,shear,6.1576,0.002463,155.2258,0.6188
2.5,1.0,10,0.013087,76.41,shear,9.088,0.003635,153.9794,0.5488
2.5,1.5,0,0.004271,234.14,shear,6.1043,0.002442,442.0233,1.0
2.5,1.5,2,0.001397,715.94,shear,3.3739,0.00135,161.2679,0.8869
2.5,1.5,5,0.00252,396.81,shear,4.3186,0.001727,151.6773,0.7408
2.5,1.5,8,0.007201,138.87,shear,6.9508,0.00278,158.6364,0.6188
2.5,1.5,10,0.016717,59.82,shear,10.2454,0.004098,156.9399,0.5488
2.5,2.0,0,0.006708,149.07,shear,7.6494,0.00306,546.2679,1.0
2.5,2.0,2,0.002265,441.51,shear,4.2951,0.001718,200.3942,0.8869
2.5,2.0,5,0.003308,302.29,shear,4.9416,0.001977,160.8772,0.7408
2.5,2.0,8,0.009067,110.29,shear,7.786,0.003114,163.4111,0.6188
2.5,2.0,10,0.020988,47.65,shear,11.457,0.004583,161.0846,0.5488
2.5,2.5,0,0.010419,95.98,shear,9.5329,0.003813,680.2967,1.0
2.5,2.5,2,0.003543,282.26,shear,5.3717,0.002149,250.6995,0.8869
2.5,2.5,5,0.004281,233.57,shear,5.6166,0.002247,172.7056,0.7408
2.5,2.5,8,0.011256,88.84,shear,8.6632,0.003465,169.5501,0.6188
2.5,2.5,10,0.025965,38.51,shear,12.7227,0.005089,166.4136,0.5488
2.5,3.0,0,0.01584,63.13,shear,11.7548,0.004702,844.1096,1.0
2.5,3.0,2,0.005353,186.82,shear,6.6038,0.002642,312.1837,0.8869
2.5,3.0,5,0.005468,182.88,shear,6.3435,0.002537,187.1626,0.7408
2.5,3.0,8,0.013801,72.46,shear,9.5824,0.003833,177.0533,0.6188
2.5,3.0,10,0.031711,31.53,shear,14.0426,0.005617,172.9267,0.5488
2.5,3.5,0,0.023487,42.58,shear,14.3151,0.005726,1037.7067,1.0
2.5,3.5,2,0.007835,127.64,shear,7.9913,0.003197,384.8468,0.8869
2.5,3.5,5,0.006899,144.95,shear,7.1222,0.002849,204.2481,0.7408
2.5,3.5,8,0.016738,59.75,shear,10.5437,0.004217,185.9207,0.6188
2.5,3.5,10,0.038297,26.11,shear,15.4168,0.006167,180.6241,0.5488
2.5,4.0,0,0.033956,29.45,shear,17.2138,0.006886,1261.0879,1.0
2.5,4.0,2,0.011147,89.71,shear,9.5342,0.003814,468.689,0.8869
2.5,4.0,5,0.008607,116.19,shear,7.9528,0.003181,223.9621,0.7408
2.5,4.0,8,0.020101,49.75,shear,11.547,0.004619,196.1523,0.6188
2.5,4.0,10,0.045793,21.84,shear,16.845,0.006738,189.5057,0.5488
2.5,4.5,0,0.047919,20.87,shear,20.451,0.00818,1514.2533,1.0
2.5,4.5,2,0.015464,64.67,shear,11.2326,0.004493,563.71,0.8869
2.5,4.5,5,0.010626,94.11,shear,8.8353,0.003534,246.3047,0.7408
2.5,4.5,8,0.023928,41.79,shear,12.5923,0.005037,207.7482,0.6188
2.5,4.5,10,0.054274,18.43,shear,18.3275,0.007331,199.5715,0.5488
2.5,5.0,0,0.066128,15.12,shear,24.0265,0.009611,1797.2029,1.0
2.5,5.0,2,0.020979,47.67,shear,13.0864,0.005235,669.91,0.8869
2.5,5.0,5,0.012994,76.96,shear,9.7698,0.003908,271.2757,0.7408
2.5,5.0,8,0.02826,35.39,shear,13.6796,0.005472,220.7082,0.6188
2.5,5.0,10,0.063816,15.67,shear,19.8641,0.007946,210.8215,0.5488
2.5,5.5,0,0.089412,11.18,shear,27.9405,0.011176,2109.9366,1.0
2.5,5.5,2,0.027902,35.84,shear,15.0957,0.006038,787.289,0.8869
2.5,5.5,5,0.015749,63.5,shear,10.756,0.004302,298.8754,0.7408
2.5,5.5,8,0.033137,30.18,shear,14.8089,0.005924,235.0325,0.6188
2.5,5.5,10,0.074498,13.42,shear,21.4549,0.008582,223.2557,0.5488
2.5,6.0,0,0.118681,8.43,shear,32.1928,0.012877,2452.4545,1.0
2.5,6.0,2,0.036463,27.43,shear,17.2604,0.006904,915.8468,0.8869
